ID,Level,Parent ID,Workstream (Category),Task / Subtask,Needle-Mover,Owner (Responsible),Authorizer,Est. Hours,Priority,Start,Due,Depends On,KPI / Definition of Done,Status,% Done,Actual Hours,Health,Last Update,Notes
HEYL-A,Task,HEYL,Physician Launch,Launch gate / source of truth / compliance (Dr. Jonathan Heyl DO),Yes,Randall,Joe,,P1,2026-07-30,2026-08-21,,Guardrails + provider record locked before any asset is built,Not Started,,,,,Sept 1 target launch; Aug 7 review deadline
HEYL-A.1,Subtask,HEYL-A,Physician Launch,Chase 5 unanswered REQUIRED questionnaire items (start date; locations/ASC/capacity; personal story; review format; 90-day success),Yes,Randall,Joe,3,P1,2026-07-30,2026-08-05,,All 5 answered in writing before Aug 7,Not Started,0,0,,,Plain-language small-ask note per CLAUDE.md norms; include permission ask for Marine City / Siena Heights details
HEYL-A.2,Subtask,HEYL-A,Physician Launch,Write Heyl messaging guardrail one-pager (board-eligible language; fellowship phrasing; do-not-promote list),Yes,Randall,Joe,3,P1,2026-07-30,2026-08-05,,Distributed to content/PL/call center/Blue Ox/Cardinal,Not Started,0,0,,,Board certified PM&R + board ELIGIBLE Pain Medicine until Sept exam confirmed
HEYL-A.3,Subtask,HEYL-A,Physician Launch,Build single source-of-truth provider record (name/NPI/credentials/taxonomy/cleared vs pending vs never procedures),Yes,Randall,Joe,4,P1,2026-08-01,2026-08-07,HEYL-A.1,Versioned record; all assets cite it,Not Started,0,0,,,
HEYL-A.4,Subtask,HEYL-A,Physician Launch,Taxonomy firewall - block auto-association with kyphoplasty + ketamine infusion pages,Yes,Randall,Joe,4,P1,2026-08-14,2026-08-21,HEYL-A.3,Zero links from kyphoplasty/ketamine/opioid pages to his bio (verified in staging),Not Started,0,0,,,Both pages are LIVE today (169 + 159 impr/90d) and violate his stated guardrails
HEYL-A.5,Subtask,HEYL-A,Physician Launch,Capability gate with Operations (PNS/SCS/PRP/EMG/ASC days) - written confirmation,Yes,Randall,Operations,3,P1,2026-08-07,2026-08-21,,Signed capability list; unconfirmed items cut from launch copy,Not Started,0,0,,,
HEYL-A.6,Subtask,HEYL-A,Physician Launch,Set September board-exam trigger - re-audit every asset on certification confirmation,No,Randall,Joe,2,P2,2026-07-30,2026-10-01,,Trigger scheduled with asset checklist,Not Started,0,0,,,Fires post-exam; bio + 6 directories + schema + collateral + ad copy
HEYL-A.7,Subtask,HEYL-A,Physician Launch,Confirm Aug 10 photography + specify shot list (straight-on portrait / procedure / 9:16 vertical / directory crop),Yes,Randall,Joe,2,P1,2026-07-30,2026-08-07,,Shot list sent; session confirmed,Not Started,0,0,,,One session feeds every downstream format
HEYL-B,Task,HEYL,Physician Launch,Provider bio page - the highest-value launch asset,Yes,Randall,Heyl/Joe,,P1,2026-08-07,2026-08-28,HEYL-A,Bio live on one canonical URL with clean schema,Not Started,,,,,Top SHP bios earn 200-360 clicks/90d at position 5-7
HEYL-B.1,Subtask,HEYL-B,Physician Launch,Lock canonical bio URL /providers/jonathan-heyl-do/ and block variants,Yes,Randall,Paul,3,P1,2026-08-07,2026-08-14,HEYL-A.3,One URL live; variants 301'd; canonical verified,Not Started,0,0,,,PREVENTS the Oddo/Lee/Singh duplicate-bio problem (all 3 pain docs have 2 competing URLs; Singh's misspelled URL outranks his correct one)
